P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category,Severity_Category,Severity_Smoothed
C-BAG-27-059,TokhaSarswoti,Kathmandu,Central,1.46,0.05,8.86,1.82,5.34,0.74,1.5244,Medium-High,Low,0.7460000000000001
C-BAG-24-057,Mangaltar,Kavrepalanchok,Central,2.19,0.04,6.46,3.31,4.88,0.74,1.524,Medium-High,Low,0.744
C-NAR-35-034,Saradanagar,Chitawan,Central,0.88,0.12,5.38,2.53,3.96,0.74,1.5236,Medium-High,Low,0.742
C-BAG-26-004,Changunarayan,Bhaktapur,Central,1.4,0.06,8.23,0.89,4.56,0.74,1.5201,Medium-High,Low,0.74
C-BAG-24-029,Foksingtar,Kavrepalanchok,Central,3.48,0.02,6.46,3.31,4.88,0.74,1.5197,Medium-High,Low,0.74
W-GAN-36-005,Asrang,Gorkha,Western,2.0,0.03,6.44,5.21,5.83,0.74,1.5191,Medium-High,Low,0.74
C-JAN-21-027,Khadadevi,Ramechhap,Central,1.53,0.04,7.16,6.06,6.61,0.74,1.519,Medium-High,Low,0.74
W-GAN-36-059,Takukot,Gorkha,Western,1.76,0.04,6.44,5.21,5.83,0.74,1.5189,Medium-High,Low,0.74
C-NAR-35-023,Kumroj,Chitawan,Central,1.24,0.08,5.38,2.53,3.96,0.74,1.5175,Medium-High,Low,0.74
W-GAN-38-013,Chhimkeshwari,Tanahu,Western,3.98,0.02,6.43,4.04,5.24,0.74,1.5153,Medium-High,Low,0.74
C-BAG-23-003,Bansbari,Sindhupalchok,Central,1.16,0.05,6.85,6.57,6.71,0.74,1.5141,Medium-High,Low,0.74
C-JAN-20-047,Sitalpati,Sindhuli,Central,1.65,0.04,5.19,6.55,5.87,0.74,1.5138,Medium-High,Low,0.74
C-BAG-23-009,Bhimtar,Sindhupalchok,Central,1.28,0.05,6.85,6.57,6.71,0.74,1.5106,Medium-High,Low,0.74
C-BAG-25-017,Gimdi,Lalitpur,Central,3.67,0.02,8.4,0.82,4.61,0.74,1.5097,Medium-High,Low,0.74
C-BAG-27-034,Lapsephedi,Kathmandu,Central,1.29,0.06,8.86,1.82,5.34,0.73,1.5071,Medium-High,Low,0.738
C-BAG-24-004,BaluwapatiDeupur,Kavrepalanchok,Central,1.31,0.06,6.46,3.31,4.88,0.73,1.5056,Medium-High,Low,0.736
C-NAR-31-002,Ambhanjyang,Makwanpur,Central,1.28,0.07,4.99,3.64,4.32,0.73,1.5008,Medium-High,Low,0.734
C-JAN-21-012,Dadhuwa,Ramechhap,Central,1.22,0.05,7.16,6.06,6.61,0.73,1.5006,Medium-High,Low,0.732
C-BAG-26-016,Sirutar,Bhaktapur,Central,1.74,0.05,8.23,0.89,4.56,0.73,1.4988,Medium-High,Low,0.73
C-BAG-27-013,Chunikhel,Kathmandu,Central,1.6,0.05,8.86,1.82,5.34,0.73,1.4971,Medium-High,Low,0.73
C-BAG-25-007,Bungamati,Lalitpur,Central,1.37,0.06,8.4,0.82,4.61,0.73,1.495,Medium-High,Low,0.73
C-JAN-19-073,Netraganj,Sarlahi,Central,0.58,0.1,4.21,8.35,6.28,0.73,1.4879,Medium-High,Low,0.73
C-BAG-28-055,Suryamati,Nuwakot,Central,1.71,0.04,5.91,5.85,5.88,0.72,1.4819,Medium-High,Low,0.728
W-GAN-36-021,Finam,Gorkha,Western,2.03,0.03,6.44,5.21,5.83,0.72,1.4798,Medium-High,Low,0.726
C-NAR-35-028,Padampur,Chitawan,Central,0.62,0.15,5.38,2.53,3.96,0.72,1.4797,Medium-High,Low,0.724
W-GAN-38-018,Dharampani,Tanahu,Western,2.22,0.03,6.43,4.04,5.24,0.72,1.4786,Medium-High,Low,0.722
C-BAG-28-061,Tupche,Nuwakot,Central,1.17,0.05,5.91,5.85,5.88,0.72,1.4778,Medium-High,Low,0.72
C-BAG-27-051,Sheshnarayan,Kathmandu,Central,1.76,0.04,8.86,1.82,5.34,0.72,1.4735,Medium-High,Low,0.72
C-NAR-31-022,IpaPanchakanya,Makwanpur,Central,3.34,0.03,4.99,3.64,4.32,0.72,1.4718,Medium-High,Low,0.72
W-GAN-36-045,Namjung,Gorkha,Western,2.01,0.03,6.44,5.21,5.83,0.72,1.4694,Medium-High,Low,0.72
C-BAG-27-048,Satikhel,Kathmandu,Central,1.58,0.04,8.86,1.82,5.34,0.72,1.4684,Medium-High,Low,0.72
C-BAG-23-034,Jyamire,Sindhupalchok,Central,0.96,0.06,6.85,6.57,6.71,0.72,1.4682,Medium-High,Low,0.72
C-NAR-31-019,Hatiya,Makwanpur,Central,0.63,0.13,4.99,3.64,4.32,0.71,1.466,Medium-High,Low,0.718
C-BAG-27-004,Balambu,Kathmandu,Central,0.91,0.08,8.86,1.82,5.34,0.71,1.4639,Medium-High,Low,0.716
C-BAG-23-048,Melamchi,Sindhupalchok,Central,1.01,0.05,6.85,6.57,6.71,0.71,1.4635,Medium-High,Low,0.714
C-BAG-24-002,Baldthali,Kavrepalanchok,Central,2.69,0.03,6.46,3.31,4.88,0.71,1.4632,Medium-High,Low,0.712
C-BAG-30-036,Phulkhark,Dhading,Central,1.43,0.04,6.82,5.15,5.99,0.71,1.461,Medium-High,Low,0.71
C-BAG-26-013,Nagarkot,Bhaktapur,Central,1.68,0.05,8.23,0.89,4.56,0.71,1.4578,Medium-High,Low,0.71
C-JAN-19-028,Dhurkauli,Sarlahi,Central,0.58,0.1,4.21,8.35,6.28,0.71,1.4535,Medium-High,Low,0.71
C-BAG-23-010,Bhotasipa,Sindhupalchok,Central,1.12,0.05,6.85,6.57,6.71,0.71,1.453,Medium-High,Low,0.71
C-BAG-25-013,Devichour,Lalitpur,Central,2.6,0.03,8.4,0.82,4.61,0.71,1.4514,Medium-High,Low,0.71
C-JAN-19-018,Bhaktipur,Sarlahi,Central,0.37,0.15,4.21,8.35,6.28,0.71,1.4483,Medium-High,Low,0.71
C-BAG-25-004,Bhattedanda,Lalitpur,Central,3.62,0.02,8.4,0.82,4.61,0.71,1.4476,Medium-High,Low,0.71
C-BAG-23-063,SipalKavre,Sindhupalchok,Central,1.34,0.04,6.85,6.57,6.71,0.71,1.4468,Medium-High,Low,0.71
C-BAG-24-075,Salmechakala,Kavrepalanchok,Central,4.03,0.02,6.46,3.31,4.88,0.7,1.4417,Medium-High,Low,0.708
C-BAG-23-016,Dubachour,Sindhupalchok,Central,0.88,0.06,6.85,6.57,6.71,0.7,1.441,Medium-High,Low,0.706
C-BAG-23-012,BhoteNamlang,Sindhupalchok,Central,1.06,0.05,6.85,6.57,6.71,0.7,1.4401,Medium-High,Low,0.704
C-BAG-30-006,Budhathum,Dhading,Central,1.51,0.04,6.82,5.15,5.99,0.7,1.4398,Medium-High,Low,0.702
C-BAG-25-036,Sankhu,Lalitpur,Central,3.2,0.02,8.4,0.82,4.61,0.7,1.4379,Medium-High,Low,0.7
C-NAR-31-034,PadamPokhari,Makwanpur,Central,0.46,0.18,4.99,3.64,4.32,0.7,1.4378,Medium-High,Low,0.7
C-BAG-24-079,SaradaBatase,Kavrepalanchok,Central,2.9,0.02,6.46,3.31,4.88,0.7,1.4373,Medium-High,Low,0.7
W-GAN-36-001,Aanppipal,Gorkha,Western,1.42,0.04,6.44,5.21,5.83,0.7,1.4346,Medium-High,Low,0.7
C-BAG-28-041,Narjamandap,Nuwakot,Central,1.06,0.05,5.91,5.85,5.88,0.7,1.4345,Medium-High,Low,0.7
C-BAG-28-029,Kalyanpur,Nuwakot,Central,0.99,0.06,5.91,5.85,5.88,0.7,1.4337,Medium-High,Low,0.7
C-BAG-25-024,Jharuwarasi,Lalitpur,Central,1.66,0.04,8.4,0.82,4.61,0.7,1.4258,Medium-High,Low,0.7
C-BAG-25-003,Bhardev,Lalitpur,Central,3.2,0.02,8.4,0.82,4.61,0.69,1.4233,Medium-High,Low,0.6979999999999998
C-JAN-19-050,Karmaiya,Sarlahi,Central,0.57,0.09,4.21,8.35,6.28,0.69,1.4201,Medium-High,Low,0.696
C-BAG-27-005,Baluwa,Kathmandu,Central,1.1,0.06,8.86,1.82,5.34,0.69,1.418,Medium-High,Low,0.694
C-BAG-26-009,Gundu,Bhaktapur,Central,1.24,0.06,8.23,0.89,4.56,0.69,1.4178,Medium-High,Low,0.692
C-BAG-28-001,BagesworiChokade,Nuwakot,Central,1.1,0.05,5.91,5.85,5.88,0.69,1.4177,Medium-High,Low,0.69
C-NAR-35-030,Patihani,Chitawan,Central,0.7,0.12,5.38,2.53,3.96,0.69,1.4154,Medium-High,Low,0.69
C-BAG-27-058,TokhaChandeswori,Kathmandu,Central,1.51,0.04,8.86,1.82,5.34,0.69,1.4133,Medium-High,Low,0.69
C-JAN-18-027,Gauribas,Mahottari,Central,0.78,0.06,4.33,8.62,6.48,0.69,1.4131,Medium-High,Low,0.69
C-BAG-24-064,NayagaunDeupur,Kavrepalanchok,Central,1.47,0.05,6.46,3.31,4.88,0.69,1.4111,Medium-High,Low,0.69
C-BAG-27-017,Dharmasthali,Kathmandu,Central,0.91,0.07,8.86,1.82,5.34,0.69,1.4105,Medium-High,Low,0.69
W-GAN-36-049,Pandrung,Gorkha,Western,2.16,0.03,6.44,5.21,5.83,0.69,1.4101,Medium-High,Low,0.69
C-BAG-27-018,Futung,Kathmandu,Central,1.24,0.05,8.86,1.82,5.34,0.69,1.4096,Medium-High,Low,0.69
C-BAG-23-074,Thokarpa,Sindhupalchok,Central,1.08,0.04,6.85,6.57,6.71,0.69,1.4092,Medium-High,Low,0.69
C-BAG-27-041,Naglebhare,Kathmandu,Central,1.31,0.05,8.86,1.82,5.34,0.69,1.4079,Medium-High,Low,0.69
C-BAG-24-017,ChyasingKharka,Kavrepalanchok,Central,2.31,0.03,6.46,3.31,4.88,0.69,1.4073,Medium-High,Low,0.69
C-BAG-30-015,Gumdi,Dhading,Central,1.09,0.05,6.82,5.15,5.99,0.69,1.4069,Medium-High,Low,0.69
C-JAN-22-014,Dandakharka,Dolakha,Central,1.13,0.04,7.53,5.86,6.7,0.69,1.406,Medium-High,Low,0.69
C-JAN-19-035,Gourishankar,Sarlahi,Central,0.35,0.14,4.21,8.35,6.28,0.69,1.4054,Medium-High,Low,0.69
C-NAR-33-052,KalaiyaN.P.,Bara,Central,0.12,0.44,4.93,7.2,6.06,0.68,1.4043,Medium-High,Low,0.688
C-BAG-23-040,Kunchok,Sindhupalchok,Central,1.18,0.04,6.85,6.57,6.71,0.68,1.4041,Medium-High,Low,0.686
C-JAN-19-038,Haripur,Sarlahi,Central,0.44,0.12,4.21,8.35,6.28,0.68,1.4036,Medium-High,Low,0.684
C-NAR-31-018,Handikhola,Makwanpur,Central,0.39,0.19,4.99,3.64,4.32,0.68,1.4035,Medium-High,Low,0.682
C-BAG-25-033,Nallu,Lalitpur,Central,3.12,0.02,8.4,0.82,4.61,0.68,1.4033,Medium-High,Low,0.68
C-JAN-21-014,Dimipokhari,Ramechhap,Central,1.54,0.03,7.16,6.06,6.61,0.68,1.4029,Medium-High,Low,0.68
C-BAG-28-024,Gorsyang,Nuwakot,Central,1.55,0.04,5.91,5.85,5.88,0.68,1.4027,Medium-High,Low,0.68
C-NAR-32-016,Bishrampur,Rautahat,Central,0.38,0.12,4.38,9.14,6.76,0.68,1.3981,Medium-High,Low,0.68
C-BAG-28-009,Budhasing,Nuwakot,Central,1.78,0.03,5.91,5.85,5.88,0.68,1.3978,Medium-High,Low,0.68
C-NAR-32-084,Rangapur,Rautahat,Central,0.41,0.11,4.38,9.14,6.76,0.68,1.3958,Medium-High,Low,0.68
C-JAN-19-064,MalangawaN.P.,Sarlahi,Central,0.19,0.26,4.21,8.35,6.28,0.68,1.3933,Medium-High,Low,0.68
C-BAG-24-019,DapchaChatraibhanjha,Kavrepalanchok,Central,2.25,0.03,6.46,3.31,4.88,0.68,1.3912,Medium-High,Low,0.68
W-GAN-36-040,Makaising,Gorkha,Western,2.25,0.02,6.44,5.21,5.83,0.68,1.3889,Medium-High,Low,0.68
W-GAN-36-054,Shreenathkot,Gorkha,Western,1.64,0.03,6.44,5.21,5.83,0.68,1.3856,Medium-High,Low,0.68
C-BAG-27-003,Bajrayogini,Kathmandu,Central,1.3,0.04,8.86,1.82,5.34,0.68,1.3848,Medium-High,Low,0.68
C-JAN-21-032,Majuwa,Ramechhap,Central,1.98,0.02,7.16,6.06,6.61,0.68,1.3846,Medium-High,Low,0.68
C-BAG-23-055,Pipaldanda,Sindhupalchok,Central,1.32,0.03,6.85,6.57,6.71,0.67,1.384,Medium-High,Low,0.6780000000000002
C-BAG-23-006,Bahrabise,Sindhupalchok,Central,0.62,0.07,6.85,6.57,6.71,0.67,1.3821,Medium-High,Low,0.676
C-BAG-25-031,Malta,Lalitpur,Central,3.52,0.02,8.4,0.82,4.61,0.67,1.3821,Medium-High,Low,0.674
C-NAR-32-090,Santpur(Matiaun),Rautahat,Central,0.29,0.15,4.38,9.14,6.76,0.67,1.382,Medium-High,Low,0.672
C-BAG-25-005,Bisankhunarayan,Lalitpur,Central,1.44,0.05,8.4,0.82,4.61,0.67,1.3813,Medium-High,Low,0.67
C-NAR-32-024,Dumariya(Matiauna),Rautahat,Central,0.28,0.16,4.38,9.14,6.76,0.67,1.3793,Medium-High,Low,0.67
C-BAG-25-018,Godamchaur,Lalitpur,Central,1.31,0.05,8.4,0.82,4.61,0.67,1.3792,Medium-High,Low,0.67
C-JAN-19-077,Pattharkot,Sarlahi,Central,0.63,0.08,4.21,8.35,6.28,0.67,1.3787,Medium-High,Low,0.67
C-BAG-24-086,SipaliChilaune,Kavrepalanchok,Central,2.1,0.03,6.46,3.31,4.88,0.67,1.3765,Medium-High,Low,0.67
C-BAG-28-020,Ganeshthan,Nuwakot,Central,1.34,0.04,5.91,5.85,5.88,0.67,1.3761,Medium-High,Low,0.67
C-BAG-24-035,JaisithokMandan,Kavrepalanchok,Central,2.02,0.03,6.46,3.31,4.88,0.67,1.3736,Medium-High,Low,0.67
